lore_code,lore_name,matched_sku,matched_product_name,score,action
1110,Gold Scarab,MENU_KNOWLEDGE_18120,Gold Scarab,1.000,UPDATED
1140,Moon of Nokstella,MENU_KNOWLEDGE_18150,Moon of Nokstella,1.000,UPDATED
1150,Green Turtle Talisman,MENU_KNOWLEDGE_18160,Green Turtle Talisman,1.000,UPDATED
1160,Stalwart Horn Charm,MENU_KNOWLEDGE_18170,Stalwart Horn Charm,1.000,UPDATED
1161,Stalwart Horn Charm +1,MENU_KNOWLEDGE_18171,Stalwart Horn Charm +1,1.000,UPDATED
1170,Immunizing Horn Charm,MENU_KNOWLEDGE_18180,Immunizing Horn Charm,1.000,UPDATED
1171,Immunizing Horn Charm +1,MENU_KNOWLEDGE_18181,Immunizing Horn Charm +1,1.000,UPDATED
1180,Clarifying Horn Charm,MENU_KNOWLEDGE_18190,Clarifying Horn Charm,1.000,UPDATED
1181,Clarifying Horn Charm +1,MENU_KNOWLEDGE_18190,Clarifying Horn Charm,0.955,DUPLICATE_SKIPPED
1190,Prince of Death's Pustule,MENU_KNOWLEDGE_03220,Prince of Death_s Pustule,1.000,UPDATED
1191,Prince of Death's Cyst,MENU_KNOWLEDGE_18201,Prince of Death_s Cyst,1.000,UPDATED
1200,Mottled Necklace,MENU_KNOWLEDGE_18210,Mottled Necklace,1.000,UPDATED
1201,Mottled Necklace +1,MENU_KNOWLEDGE_18211,Mottled Necklace +1,1.000,UPDATED
1210,Bull-Goat's Talisman,MENU_KNOWLEDGE_18220,Bull-Goat_s Talisman,1.000,UPDATED
1220,Marika's Scarseal,MENU_KNOWLEDGE_18060,Marika_s Scarseal,1.000,UPDATED
1221,Marika's Soreseal,MENU_KNOWLEDGE_18061,Marika_s Soreseal,1.000,UPDATED
1230,Warrior Jar Shard,MENU_KNOWLEDGE_18870,Warrior Jar Shard,1.000,UPDATED
1231,Shard of Alexander,MENU_KNOWLEDGE_18871,Shard of Alexander,1.000,UPDATED
1250,Millicent's Prosthesis,MENU_KNOWLEDGE_18890,Millicent_s Prosthesis,1.000,UPDATED
2000,Magic Scorpion Charm,MENU_KNOWLEDGE_18230,Magic Scorpion Charm,1.000,UPDATED
2010,Lightning Scorpion Charm,MENU_KNOWLEDGE_18240,Lightning Scorpion Charm,1.000,UPDATED
2020,Fire Scorpion Charm,MENU_KNOWLEDGE_18250,Fire Scorpion Charm,1.000,UPDATED
2030,Sacred Scorpion Charm,MENU_KNOWLEDGE_18260,Sacred Scorpion Charm,1.000,UPDATED
2040,Red-Feathered Branchsword,MENU_KNOWLEDGE_18270,Red-Feathered Branch Sword,0.980,UPDATED
2050,Ritual Sword Talisman,MENU_KNOWLEDGE_18280,Ritual Sword Talisman,1.000,UPDATED
2060,Spear Talisman,MENU_KNOWLEDGE_18290,Spear Talisman,1.000,UPDATED
2070,Hammer Talisman,MENU_KNOWLEDGE_18300,Hammer Talisman,1.000,UPDATED
2080,Winged Sword Insignia,MENU_KNOWLEDGE_18310,Winged Sword Insignia,1.000,UPDATED
2081,Rotten Winged Sword Insignia,MENU_KNOWLEDGE_18311,Rotten Winged Sword Insignia,1.000,UPDATED
2090,Dagger Talisman,MENU_KNOWLEDGE_18320,Dagger Talisman,1.000,UPDATED
2100,Arrow's Reach Talisman,MENU_KNOWLEDGE_18330,Arrow_s Reach Talisman,1.000,UPDATED
2110,Blue Dancer Charm,MENU_KNOWLEDGE_18350,Blue Dancer Charm,1.000,UPDATED
2120,Twinblade Talisman,MENU_KNOWLEDGE_18360,Twinblade Talisman,1.000,UPDATED
2130,Axe Talisman,MENU_KNOWLEDGE_18370,Axe Talisman,1.000,UPDATED
2140,Lance Talisman,MENU_KNOWLEDGE_18380,Lance Talisman,1.000,UPDATED
2150,Arrow's Sting Talisman,MENU_KNOWLEDGE_18340,Arrow_s Sting Talisman,1.000,UPDATED
2160,Lord of Blood's Exultation,MENU_KNOWLEDGE_18390,Lord of Blood_s Exultation,1.000,UPDATED
2170,Kindred of Rot's Exultation,MENU_KNOWLEDGE_18400,Kindred of Rot_s Exultation,1.000,UPDATED
2180,Claw Talisman,MENU_KNOWLEDGE_18800,Claw Talisman,1.000,UPDATED
2190,Roar Medallion,MENU_KNOWLEDGE_18810,Roar Medallion,1.000,UPDATED
2200,Curved Sword Talisman,MENU_KNOWLEDGE_18820,Curved Sword Talisman,1.000,UPDATED
2210,Companion Jar,MENU_KNOWLEDGE_18830,Companion Jar,1.000,UPDATED
2220,Perfumer's Talisman,MENU_KNOWLEDGE_18840,Perfumer_s Talisman,1.000,UPDATED
3000,Graven-School Talisman,MENU_KNOWLEDGE_18410,Graven-School Talisman,1.000,UPDATED
3001,Graven-Mass Talisman,MENU_KNOWLEDGE_18411,Graven-Mass Talisman,1.000,UPDATED
3040,Faithful's Canvas Talisman,MENU_KNOWLEDGE_18440,Faithful_s Canvas Talisman,1.000,UPDATED
3050,Flock's Canvas Talisman,MENU_KNOWLEDGE_18450,Flock_s Canvas Talisman,1.000,UPDATED
3060,Old Lord's Talisman,MENU_KNOWLEDGE_18460,Old Lord_s Talisman,1.000,UPDATED
3070,Radagon Icon,MENU_KNOWLEDGE_18470,Radagon_s Icon,0.923,LOW_CONFIDENCE
3080,Primal Glintstone Blade,MENU_KNOWLEDGE_18480,Primal Glintstone Blade,1.000,UPDATED
3090,Godfrey Icon,MENU_KNOWLEDGE_18860,Godfrey Icon,1.000,UPDATED
4000,Dragoncrest Shield Talisman,MENU_KNOWLEDGE_18490,Dragoncrest Shield Talisman,1.000,UPDATED
4001,Dragoncrest Shield Talisman +1,MENU_KNOWLEDGE_18491,Dragoncrest Shield Talisman +1,1.000,UPDATED
4002,Dragoncrest Shield Talisman +2,MENU_KNOWLEDGE_18492,Dragoncrest Shield Talisman +2,1.000,UPDATED
4003,Dragoncrest Greatshield Talisman,MENU_KNOWLEDGE_18493,Dragoncrest Greatshield Talisman,1.000,UPDATED
4010,Spelldrake Talisman,MENU_KNOWLEDGE_18500,Spelldrake Talisman,1.000,UPDATED
4011,Spelldrake Talisman +1,MENU_KNOWLEDGE_18501,Spelldrake Talisman +1,1.000,UPDATED
4012,Spelldrake Talisman +2,MENU_KNOWLEDGE_18502,Spelldrake Talisman +2,1.000,UPDATED
4020,Flamedrake Talisman,MENU_KNOWLEDGE_18510,Flamedrake Talisman,1.000,UPDATED
4021,Flamedrake Talisman +1,MENU_KNOWLEDGE_18511,Flamedrake Talisman +1,1.000,UPDATED
4022,Flamedrake Talisman +2,MENU_KNOWLEDGE_18512,Flamedrake Talisman +2,1.000,UPDATED
4030,Boltdrake Talisman,MENU_KNOWLEDGE_18520,Boltdrake Talisman,1.000,UPDATED
4031,Boltdrake Talisman +1,MENU_KNOWLEDGE_18521,Boltdrake Talisman +1,1.000,UPDATED
4032,Boltdrake Talisman +2,MENU_KNOWLEDGE_18522,Boltdrake Talisman +2,1.000,UPDATED
4040,Haligdrake Talisman,MENU_KNOWLEDGE_18530,Haligdrake Talisman,1.000,UPDATED
4041,Haligdrake Talisman +1,MENU_KNOWLEDGE_18531,Haligdrake Talisman +1,1.000,UPDATED
4042,Haligdrake Talisman +2,MENU_KNOWLEDGE_18532,Haligdrake Talisman +2,1.000,UPDATED
4050,Pearldrake Talisman,MENU_KNOWLEDGE_18540,Pearldrake Talisman,1.000,UPDATED
4051,Pearldrake Talisman +1,MENU_KNOWLEDGE_18541,Pearldrake Talisman +1,1.000,UPDATED
4052,Pearldrake Talisman +2,MENU_KNOWLEDGE_18542,Pearldrake Talisman +2,1.000,UPDATED
4060,Crucible Scale Talisman,MENU_KNOWLEDGE_18550,Crucible Scale Talisman,1.000,UPDATED
4070,Crucible Feather Talisman,MENU_KNOWLEDGE_18560,Crucible Feather Talisman,1.000,UPDATED
4080,Blue-Feathered Branchsword,MENU_KNOWLEDGE_18570,Blue-Feathered Branch Sword,0.981,UPDATED
4090,Ritual Shield Talisman,MENU_KNOWLEDGE_18580,Ritual Shield Talisman,1.000,UPDATED
4100,Greatshield Talisman,MENU_KNOWLEDGE_18590,Greatshield Talisman,1.000,UPDATED
4110,Crucible Knot Talisman,MENU_KNOWLEDGE_18600,Crucible Knot Talisman,1.000,UPDATED
5000,Crimson Seed Talisman,MENU_KNOWLEDGE_18610,Crimson Seed Talisman,1.000,UPDATED
5010,Cerulean Seed Talisman,MENU_KNOWLEDGE_18620,Cerulean Seed Talisman,1.000,UPDATED
5020,Blessed Dew Talisman,MENU_KNOWLEDGE_18630,Blessed Dew Talisman,1.000,UPDATED
5030,Taker's Cameo,MENU_KNOWLEDGE_18640,Taker_s Cameo,1.000,UPDATED
5040,Godskin Swaddling Cloth,MENU_KNOWLEDGE_18650,Godskin Swaddling Cloth,1.000,UPDATED
5050,Assassin's Crimson Dagger,MENU_KNOWLEDGE_18660,Assassin_s Crimson Dagger,1.000,UPDATED
5060,Assassin's Cerulean Dagger,MENU_KNOWLEDGE_18670,Assassin_s Cerulean Dagger,1.000,UPDATED
6000,Crepus's Vial,MENU_KNOWLEDGE_18680,Crepus_s Vial,1.000,UPDATED
6010,Concealing Veil,MENU_KNOWLEDGE_18690,Concealing Veil,1.000,UPDATED
6020,Carian Filigreed Crest,MENU_KNOWLEDGE_18700,Carian Filigreed Crest,1.000,UPDATED
6040,Longtail Cat Talisman,MENU_KNOWLEDGE_18720,Longtail Cat Talisman,1.000,UPDATED
6050,Shabriri's Woe,MENU_KNOWLEDGE_18730,Shabriri_s Woe,1.000,UPDATED
6060,Daedicar's Woe,MENU_KNOWLEDGE_18740,Daedicar_s Woe,1.000,UPDATED
6070,Sacrificial Twig,MENU_KNOWLEDGE_18750,Sacrificial Twig,1.000,UPDATED
6080,Furled Finger's Trick-Mirror,MENU_KNOWLEDGE_18760,Furled Finger_s Trick Mirror,1.000,UPDATED
6090,Host's Trick-Mirror,MENU_KNOWLEDGE_18770,Host_s Trick Mirror,1.000,UPDATED
6100,Entwining Umbilical Cord,,,0.481,UNMATCHED
6110,Ancestral Spirit's Horn,MENU_KNOWLEDGE_18880,Ancestral Spirit_s Horn,1.000,UPDATED
10,No Skill,,,0.526,UNMATCHED
100,Lion's Claw,,,0.609,UNMATCHED
101,Impaling Thrust,,,0.533,UNMATCHED
102,Piercing Fang,,,0.538,UNMATCHED
103,Spinning Slash,,,0.552,UNMATCHED
105,Charge Forth,,,0.560,UNMATCHED
106,Stamp (Upward Cut),,,0.483,UNMATCHED
107,Stamp (Sweep),,,0.636,UNMATCHED
108,Blood Tax,,,0.615,UNMATCHED
109,Repeating Thrust,,,0.621,UNMATCHED
110,Wild Strikes,,,0.609,UNMATCHED
111,Spinning Strikes,MENU_KNOWLEDGE_06408,Lightning Strike,0.750,LOW_CONFIDENCE
112,Double Slash,,,0.522,UNMATCHED
113,Prelate's Charge,,,0.634,UNMATCHED
114,Unsheathe,,,0.571,UNMATCHED
115,Square Off,,,0.609,UNMATCHED
116,Giant Hunt,,,0.545,UNMATCHED
117,Torch Attack,,,0.522,UNMATCHED
118,Loretta's Slash,MENU_KNOWLEDGE_06026,Loretta_s Mastery,0.750,LOW_CONFIDENCE
119,Poison Moth Flight,,,0.621,UNMATCHED
120,Spinning Weapon,,,0.571,UNMATCHED
122,Storm Assault,,,0.545,UNMATCHED
123,Stormcaller,,,0.600,UNMATCHED
124,Sword Dance,,,0.560,UNMATCHED
125,Spinning Chain,,,0.541,UNMATCHED
200,Glintblade Phalanx,MENU_KNOWLEDGE_06005,Glintblade Phalanx,1.000,UPDATED
201,Sacred Blade,,,0.696,UNMATCHED
202,Ice Spear,MENU_KNOWLEDGE_10614,Spiked Spear,0.762,LOW_CONFIDENCE
203,Glintstone Pebble,MENU_KNOWLEDGE_06000,Glintstone Pebble,1.000,UPDATED
204,Bloody Slash,,,0.643,UNMATCHED
205,Lifesteal Fist,,,0.696,UNMATCHED
207,Eruption,,,0.588,UNMATCHED
208,Prayerful Strike,,,0.571,UNMATCHED
209,Gravitas,,,0.625,UNMATCHED
210,Storm Blade,,,0.667,UNMATCHED
212,Earthshaker,,,0.593,UNMATCHED
213,Golden Land,,,0.727,UNMATCHED
214,Flaming Strike,,,0.733,UNMATCHED
216,Thunderbolt,,,0.667,UNMATCHED
217,Lightning Slash,MENU_KNOWLEDGE_06406,Lightning Spear,0.800,LOW_CONFIDENCE
218,Carian Grandeur,,,0.690,UNMATCHED
219,Carian Greatsword,MENU_KNOWLEDGE_06050,Carian Greatsword,1.000,UPDATED
220,Vacuum Slice,,,0.560,UNMATCHED
221,Black Flame Tornado,MENU_KNOWLEDGE_06214,Black Flame Ritual,0.757,LOW_CONFIDENCE
222,Sacred Ring of Light,MENU_KNOWLEDGE_06061,Triple Rings of Light,0.780,LOW_CONFIDENCE
223,Firebreather,,,0.640,UNMATCHED
224,Blood Blade,,,0.727,UNMATCHED
225,Phantom Slash,,,0.500,UNMATCHED
226,Spectral Lance,,,0.600,UNMATCHED
227,Chilling Mist,,,0.621,UNMATCHED
228,Poisonous Mist,MENU_KNOWLEDGE_06610,Poison Mist,0.880,LOW_CONFIDENCE
300,Shield Bash,,,0.581,UNMATCHED
301,Barricade Shield,,,0.733,UNMATCHED
302,Parry,,,0.600,UNMATCHED
303,Buckler Parry,,,0.700,UNMATCHED
305,Carian Retaliation,MENU_KNOWLEDGE_06040,Carian Retaliation,1.000,UPDATED
306,Storm Wall,,,0.609,UNMATCHED
307,Golden Parry,,,0.696,UNMATCHED
308,Shield Crash,,,0.562,UNMATCHED
309,Thops's Barrier,MENU_KNOWLEDGE_06039,Thops_s Barrier,1.000,UPDATED
400,Through and Through,,,0.478,UNMATCHED
401,Barrage,,,0.636,UNMATCHED
402,Mighty Shot,,,0.667,UNMATCHED
404,Enchanted Shot,,,0.560,UNMATCHED
405,Sky Shot,,,0.556,UNMATCHED
406,Rain of Arrows,,,0.611,UNMATCHED
501,Hoarfrost Stomp,,,0.538,UNMATCHED
502,Storm Stomp,,,0.600,UNMATCHED
503,Kick,,,0.545,UNMATCHED
504,Lightning Ram,MENU_KNOWLEDGE_06406,Lightning Spear,0.786,LOW_CONFIDENCE
505,Flame of the Redmanes,,,0.714,UNMATCHED
506,Ground Slam,,,0.696,UNMATCHED
507,Golden Slam,,,0.727,UNMATCHED
508,Waves of Darkness,,,0.640,UNMATCHED
509,Hoarah Loux's Earthshaker,,,0.500,UNMATCHED
600,Determination,,,0.545,UNMATCHED
601,Royal Knight's Resolve,,,0.636,UNMATCHED
602,Assassin's Gambit,,,0.684,UNMATCHED
603,Golden Vow,MENU_KNOWLEDGE_06504,Golden Vow,1.000,UPDATED
604,Sacred Order,,,0.621,UNMATCHED
605,Shared Order,,,0.667,UNMATCHED
606,Seppuku,,,0.353,UNMATCHED
607,Cragblade,,,0.600,UNMATCHED
650,Barbaric Roar,,,0.522,UNMATCHED
651,War Cry,,,0.500,UNMATCHED
652,Beast's Roar,,,0.667,UNMATCHED
653,Troll's Roar,MENU_KNOWLEDGE_06092,Greyoll_s Roar,0.846,LOW_CONFIDENCE
654,Braggart's Roar,,,0.600,UNMATCHED
700,Endure,,,0.526,UNMATCHED
701,Vow of the Indomitable,,,0.511,UNMATCHED
702,Holy Ground,,,0.526,UNMATCHED
800,Quickstep,,,0.500,UNMATCHED
801,Bloodhound's Step,,,0.727,UNMATCHED
802,Raptor of the Mists,,,0.579,UNMATCHED
850,White Shadow's Lure,,,0.467,UNMATCHED
1000,Surge of Faith,,,0.741,UNMATCHED
1001,Flame Spit,MENU_KNOWLEDGE_06202,Flame Sling,0.762,LOW_CONFIDENCE
1002,Tongues of Fire,,,0.581,UNMATCHED
1003,Oracular Bubble,MENU_KNOWLEDGE_06608,Great Oracular Bubble,0.833,LOW_CONFIDENCE
1004,Bubble Shower,,,0.583,UNMATCHED
1005,Great Oracular Bubble,MENU_KNOWLEDGE_06608,Great Oracular Bubble,1.000,UPDATED
1006,Sea of Magma,,,0.615,UNMATCHED
1007,Viper Bite,,,0.667,UNMATCHED
1008,Moonlight Greatsword,,,0.649,UNMATCHED
1009,Siluria's Woe,,,0.667,UNMATCHED
1010,Rallying Standard,,,0.621,UNMATCHED
1011,Bear Witness!,,,0.600,UNMATCHED
1012,Eochaid's Dancing Blade,,,0.550,UNMATCHED
1013,Soul Stifler,,,0.571,UNMATCHED
1014,Taker's Flames,MENU_KNOWLEDGE_18640,Taker_s Cameo,0.815,LOW_CONFIDENCE
1015,Shriek of Milos,,,0.571,UNMATCHED
1016,Reduvia Blood Blade,,,0.611,UNMATCHED
1017,Glintstone Dart,MENU_KNOWLEDGE_06014,Glintstone Arc,0.897,LOW_CONFIDENCE
1018,Flowing Form,,,0.600,UNMATCHED
1019,Night-and-Flame Stance,,,0.585,UNMATCHED
1020,Wave of Gold,MENU_KNOWLEDGE_06251,Wrath of Gold,0.800,LOW_CONFIDENCE
1021,Ruinous Ghostflame,,,0.632,UNMATCHED
1022,Establish Order,,,0.615,UNMATCHED
1023,Mists of Slumber,,,0.552,UNMATCHED
1024,Spearcall Ritual,,,0.600,UNMATCHED
1025,Wolf's Assault,,,0.600,UNMATCHED
1026,Thundercloud Form,,,0.571,UNMATCHED
1027,Cursed-Blood Slice,,,0.564,UNMATCHED
1028,Waterfowl Dance,,,0.581,UNMATCHED
1029,Gold Breaker,,,0.609,UNMATCHED
1030,"I Command Thee, Kneel!",,,0.516,UNMATCHED
1031,Regal Roar,,,0.667,UNMATCHED
1032,Starcaller Cry,,,0.562,UNMATCHED
1033,Wave of Destruction,,,0.562,UNMATCHED
1034,Bloodboon Ritual,,,0.720,UNMATCHED
1035,Flowing Form,,,0.600,UNMATCHED
1036,Blade of Death,,,0.643,UNMATCHED
1037,Blade of Gold,MENU_KNOWLEDGE_06311,Barrier of Gold,0.786,LOW_CONFIDENCE
1038,Destined Death,,,0.615,UNMATCHED
1039,Spinning Wheel,,,0.593,UNMATCHED
1040,Alabaster Lords' Pull,,,0.516,UNMATCHED
1041,Onyx Lords' Repulsion,,,0.564,UNMATCHED
1042,Oath of Vengeance,,,0.533,UNMATCHED
1043,Ice Lightning Sword,,,0.706,UNMATCHED
1044,Regal Beastclaw,,,0.720,UNMATCHED
1045,Flame Dance,,,0.667,UNMATCHED
1046,Claw Flick,,,0.609,UNMATCHED
1047,Nebula,,,0.556,UNMATCHED
1048,Ghostflame Ignition,,,0.632,UNMATCHED
1049,Ancient Lightning Spear,MENU_KNOWLEDGE_06074,Ancient Dragons_ Lightning Spear,0.852,LOW_CONFIDENCE
1050,Frenzyflame Thrust,,,0.649,UNMATCHED
1051,Miquella's Ring of Light,,,0.711,UNMATCHED
1052,Golden Tempering,,,0.632,UNMATCHED
1053,Last Rites,,,0.545,UNMATCHED
1054,Unblockable Blade,,,0.714,UNMATCHED
1167,Corpse Wax Cutter,,,0.526,UNMATCHED
1168,Zamor Ice Storm,MENU_KNOWLEDGE_06029,Zamor Ice Storm,1.000,UPDATED
1169,Radahn's Rain,MENU_KNOWLEDGE_03079,Radahn_s Great Rune,0.750,LOW_CONFIDENCE
1170,The Queen's Black Flame,,,0.651,UNMATCHED
1171,Dynast's Finesse,,,0.533,UNMATCHED
1172,Magma Shower,MENU_KNOWLEDGE_06205,Magma Shot,0.818,LOW_CONFIDENCE
1173,Nebula,,,0.556,UNMATCHED
1174,Death Flare,,,0.727,UNMATCHED
1175,Bloodhound's Finesse,,,0.667,UNMATCHED
1176,Magma Guillotine,,,0.615,UNMATCHED
1177,Corpse Piler,,,0.560,UNMATCHED
1178,Transient Moonlight,,,0.560,UNMATCHED
1179,Bloodblade Dance,,,0.667,UNMATCHED
1182,Knowledge Above All,,,0.513,UNMATCHED
1183,Devourer of Worlds,,,0.606,UNMATCHED
1184,Familal Rancor,,,0.588,UNMATCHED
1185,Rosus's Summons,,,0.667,UNMATCHED
1186,Thunderstorm,,,0.522,UNMATCHED
1187,Sacred Phalanx,,,0.714,UNMATCHED
1188,Great-Serpent Hunt,,,0.579,UNMATCHED
1189,Angel's Wings,,,0.583,UNMATCHED
1190,Storm Kick,,,0.667,UNMATCHED
1191,Unblockable Blade,,,0.714,UNMATCHED
1192,Sorcery of the Crozier,,,0.583,UNMATCHED
1193,Erdtree Slam,MENU_KNOWLEDGE_11246,Erdtree Seal,0.833,LOW_CONFIDENCE
1194,Gravity Bolt,MENU_KNOWLEDGE_06043,Gravity Well,0.750,LOW_CONFIDENCE
1195,Fires of Slumber,,,0.556,UNMATCHED
1196,Golden Retaliation,,,0.722,UNMATCHED
1197,Contagious Fury,,,0.571,UNMATCHED
1198,Ordovis's Vortex,,,0.541,UNMATCHED
1199,Spinning Weapon,,,0.571,UNMATCHED
1,[26000050] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
2,[26000051] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
3,[26000052] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
4,[26000053] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
5,[26000054] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
6,[26000055] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
7,[26000056] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
8,[26000057] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
9,[26000058] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
10,[26000059] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
11,[26000060] Nomadic Merchant's Bell Bearing,,,0.516,UNMATCHED
1,[26000071] Isolated Merchant's Bell Bearing,,,0.540,UNMATCHED
2,[26000072] Isolated Merchant's Bell Bearing,,,0.540,UNMATCHED
1,[26000073] Hermit Merchant's Bell Bearing,,,0.575,UNMATCHED
3,[26000074] Isolated Merchant's Bell Bearing,,,0.540,UNMATCHED
2,[26000075] Hermit Merchant's Bell Bearing,,,0.575,UNMATCHED
3,[26000077] Hermit Merchant's Bell Bearing,,,0.575,UNMATCHED
1,[26000121] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
2,[26000122] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
3,[26000123] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
4,[26000124] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
5,[26000125] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
1,[26000126] Offer Isolated Merchant's Bell Bearing,,,0.522,UNMATCHED
2,[26000127] Offer Isolated Merchant's Bell Bearing,,,0.522,UNMATCHED
6,[26000128] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
1,[26000129] Offer Hermit Merchant's Bell Bearing,,,0.532,UNMATCHED
7,[26000130] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
8,[26000131] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
9,[26000132] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
10,[26000133] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
11,[26000134] Offer Nomadic Merchant's Bell Bearing,,,0.506,UNMATCHED
3,[26000135] Offer Isolated Merchant's Bell Bearing,,,0.522,UNMATCHED
2,[26000136] Offer Hermit Merchant's Bell Bearing,,,0.532,UNMATCHED
3,[26000138] Offer Hermit Merchant's Bell Bearing,,,0.532,UNMATCHED
1,[26000151] Offer Smithing Miner's Bell Bearing,,,0.568,UNMATCHED
2,[26000152] Offer Smithing Miner's Bell Bearing,,,0.568,UNMATCHED
3,[26000153] Offer Smithing Miner's Bell Bearing,,,0.568,UNMATCHED
4,[26000154] Offer Smithing Miner's Bell Bearing,,,0.568,UNMATCHED
1,[26000155] Offer Somber Miner's Bell Bearing,,,0.582,UNMATCHED
2,[26000156] Offer Somber Miner's Bell Bearing,,,0.582,UNMATCHED
3,[26000157] Offer Somber Miner's Bell Bearing,,,0.582,UNMATCHED
4,[26000158] Offer Somber Miner's Bell Bearing,,,0.582,UNMATCHED
5,[26000159] Offer Somber Miner's Bell Bearing,,,0.582,UNMATCHED
1,[26000160] Offer Glovewort Picker's Bell Bearing,,,0.559,UNMATCHED
2,[26000161] Offer Glovewort Picker's Bell Bearing,,,0.559,UNMATCHED
3,[26000162] Offer Glovewort Picker's Bell Bearing,,,0.559,UNMATCHED
1,[26000163] Offer Ghostform Picker's Bell Bearing,,,0.554,UNMATCHED
2,[26000164] Offer Ghostform Picker's Bell Bearing,,,0.554,UNMATCHED
3,[26000165] Offer Ghostform Picker's Bell Bearing,,,0.554,UNMATCHED
1,[26001121] Offered Nomadic Merchant's Bell Bearing,,,0.518,UNMATCHED
2,[26001122] Offered Nomadic Merchant's Bell Bearing,,,0.518,UNMATCHED
3,[26001123] Offered Nomadic Merchant's Bell Bearing,,,0.518,UNMATCHED
4,[26001124] Offered Nomadic Merchant's Bell Bearing,,,0.518,UNMATCHED
5,[26001125] Offered Nomadic Merchant's Bell Bearing,,,0.518,UNMATCHED
1,[26001126] Offered Isolated Merchant's Bell Bearing,,,0.507,UNMATCHED
2,[26001127] Offered Isolated Merchant's Bell Bearing,,,0.507,UNMATCHED
6,[26001128] Offered Nomadic Merchant's Bell Bearing,,,0.518,UNMATCHED
